model,n_fields,intra_pooled,cross_pooled,delta_pooled,d_pooled,p_perm_pooled,n_intra,n_cross
Qwen/Qwen2.5-1.5B,20,0.15783164831702262,0.12884351943907088,0.02898812887795174,0.2276509392767877,0.0001999600079984003,1647,1464
xlm-roberta-base,20,0.08565020955263275,0.06805158310596542,0.017598626446667334,0.1287303993018333,0.0003999200159968006,1647,1464
bert-base-multilingual-cased,20,0.1463690061915528,0.11653977231748525,0.02982923387406755,0.18208574668730818,0.0001999600079984003,1647,1464
cl-tohoku/bert-base-japanese-char-v3,20,0.37571413054639324,0.14866513991633,0.22704899063006323,0.5509294341858844,0.0001999600079984003,1647,1464
BAAI/bge-large-zh-v1.5,20,0.13861547684710887,0.10419280529868295,0.03442267154842592,0.2742693893354937,0.0001999600079984003,1647,1464
glyph_only/resnet18,20,0.1940751108349401,-0.0069974261502063545,0.20107253698514646,1.2211736323951807,0.0001999600079984003,1647,1464
Qwen/Qwen2.5-3B,20,0.13593932697546635,0.11260420482229096,0.02333512215317539,0.19055014624511743,0.0001999600079984003,1647,1464
hfl/chinese-macbert-base,20,0.13719048478251009,0.12471484227053174,0.012475642511978344,0.07025144732743642,0.025994801039792043,1647,1464
nghuyong/ernie-3.0-base-zh,20,0.13703038629512548,0.14537022813891895,-0.008339841843793466,-0.04438798257064786,0.8890221955608878,1647,1464
hfl/chinese-bert-wwm-ext,20,0.16148235759659402,0.13885445131821197,0.022627906278382043,0.13785133468742036,0.0001999600079984003,1647,1464
