model,layer,pool,iso,n_intra,n_inter,cohens_d,wendt_r,char_boot_lo,char_boot_hi
Qwen/Qwen2.5-1.5B,28,char,1,3400,3400,0.6826869333749516,-0.3828249134948096,0.08539292234927416,0.09976179674267768
xlm-roberta-base,12,char,1,3400,3400,0.19043956211151652,-0.10701055363321799,0.03870390467345715,0.05458755604922772
bert-base-multilingual-cased,12,char,1,3400,3400,0.20177972363375388,-0.15440709342560544,0.047819516994059084,0.069246338121593
cl-tohoku/bert-base-japanese-char-v3,12,char,1,3400,3400,0.057333586769206774,-0.06285060553633226,0.02166557013988495,0.05474313870072365
BAAI/bge-large-zh-v1.5,24,char,1,3400,3400,0.5695871057392138,-0.3020851211072664,0.07167500890791416,0.08678597304970026
glyph_only/resnet18,0,char,1,3400,3400,1.140507223949053,-0.5743100346020762,0.19973051957786084,0.21716879233717917
Qwen/Qwen2.5-3B,36,char,1,3400,3400,0.743811410067613,-0.44721098615916954,0.08289982639253139,0.0956675736233592
hfl/chinese-macbert-base,12,char,1,3400,3400,0.28153318979430497,-0.14466332179930785,0.053035585582256316,0.06999516598880291
nghuyong/ernie-3.0-base-zh,12,char,1,3400,3400,0.22465928289388343,-0.12701470588235297,0.044592952076345685,0.063587099686265
hfl/chinese-bert-wwm-ext,12,char,1,3400,3400,0.37542303542324806,-0.1850389273356401,0.06610559374094009,0.08281930852681399
