model,layer,d_real,d_random_mean,d_random_std,d_random_p95,p_pseudo,n_partitions
Qwen/Qwen2.5-1.5B,28,0.6826869333749516,-0.00034370567171904733,0.02423757510071881,0.0355611278153612,0.009900990099009901,100
xlm-roberta-base,12,0.19043956211151652,-0.0021378546807690126,0.021257402768897392,0.031490739590310374,0.009900990099009901,100
bert-base-multilingual-cased,12,0.20177972363375388,0.005100433259211038,0.02782540509882363,0.05525952881446104,0.009900990099009901,100
cl-tohoku/bert-base-japanese-char-v3,12,0.057333586769206774,-0.0011243982965398838,0.02286064132268026,0.03186209186882956,0.019801980198019802,100
BAAI/bge-large-zh-v1.5,24,0.5695871057392138,-0.00015350544099356617,0.023844509672929563,0.04022199710234734,0.009900990099009901,100
glyph_only/resnet18,0,1.140507223949053,9.808171224492782e-05,0.023220772515301618,0.032442827065198944,0.009900990099009901,100
Qwen/Qwen2.5-3B,36,0.743811410067613,0.0011921067570322213,0.026499187848139448,0.04621614000148697,0.009900990099009901,100
hfl/chinese-macbert-base,12,0.28153318979430497,0.0013013421821791169,0.024538084783068605,0.03975681188205532,0.009900990099009901,100
nghuyong/ernie-3.0-base-zh,12,0.22465928289388343,0.00040643042883780803,0.024100633837993744,0.034616073924009824,0.009900990099009901,100
hfl/chinese-bert-wwm-ext,12,0.37542303542324806,-0.0007542713526333597,0.022000567835188438,0.035154697240705336,0.009900990099009901,100
