Model,Field,Radical,Intra,Cross,p,d
mBERT,animals_犭,犭,0.7441,0.7429,0.938633,0.0264
mBERT,water_氵,氵,0.5894,0.6202,0.44110247,-0.3175
mBERT,wood_木,木,0.6226,0.6644,0.23006205,-0.4787
mBERT,metal_钅,钅,0.692,0.6637,0.34977874,0.3691
mBERT,POOLED,all,0.662,0.6728,0.5539182,-0.1156
Chinese-BERT,animals_犭,犭,0.8661,0.8521,0.25605786,0.4204
Chinese-BERT,water_氵,氵,0.7838,0.8076,0.10276904,-0.6968
Chinese-BERT,wood_木,木,0.7899,0.8098,0.2327302,-0.4578
Chinese-BERT,metal_钅,钅,0.8215,0.8107,0.6103068,0.2068
Chinese-BERT,POOLED,all,0.8153,0.82,0.6208671,-0.0974
