model,spearman_rho_pred_obs,spearman_p,n_pairs
Qwen/Qwen2.5-1.5B,0.08761088436088099,8.977519289901026e-86,50000
xlm-roberta-base,0.05827128933461469,7.187808887864054e-39,50000
bert-base-multilingual-cased,0.006824751704932865,0.12699978050984737,50000
cl-tohoku/bert-base-japanese-char-v3,0.052053346783890085,2.3743686576006715e-31,50000
BAAI/bge-large-zh-v1.5,0.0702724283284784,9.063445619463737e-56,50000
glyph_only/resnet18,0.13226652033591754,6.511669179054294e-194,50000
Qwen/Qwen2.5-3B,0.12115344118331854,8.467141921670278e-163,50000
hfl/chinese-macbert-base,0.04241733657213788,2.336237400461094e-21,50000
nghuyong/ernie-3.0-base-zh,0.03530216130151586,2.878422339489474e-15,50000
hfl/chinese-bert-wwm-ext,0.08165090188335539,1.0354636752636647e-74,50000
